Category;Index;Element;Scale of grain;Scale of information extent;Reference
Dimension;Area;Block;Block;Block;Dibble (2016)
Dimension;Built-up area;Block;Block;Block;Gil (2012)
Dimension;Depth;Block;Block;Block;Sevtsuk (2016)
Dimension;Gross floor area;Block;Block;Block;Gil (2012)
Dimension;Height;Block;Block;Block;Hermosilla (2014)
Dimension;Layers (number of floors);Block;Block;Block;Gil (2012)
Dimension;Length;Block;Block;Block;Gil (2012)
Dimension;Longest Diagonal;Block;Block;Block;Feliciotti (2018)
Dimension;Perimeter;Block;Block;Block;Gil (2012)
Dimension;Private space area;Block;Block;Block;Gil (2012)
Dimension;Public space area;Block;Block;Block;Gil (2012)
Dimension;Volume;Block;Block;Block;Hermosilla (2014)
Dimension;Width;Block;Block;Block;Gil (2012)
Dimension;Area;Building;Block;Block;Colaninno, Cladera and Pfeffer (2011)
Dimension;Bounding box Area;Building;Block;Block;Hamaina, Leduc and Moreau (2012)
Dimension;Core Area Index;Building;Block;Block;Colaninno, Cladera and Pfeffer (2011)
Dimension;Floor area;Building;Block;Block;Schirmer and Axhausen (2015)
Dimension;Height;Building;Block;Block;Berghauser Pont, M. et al. (2017)
Dimension;Influence zone area;Building;Block;Block;Schirmer and Axhausen (2015)
Dimension;Length;Building;Block;Block;Hamaina, Leduc and Moreau (2012)
Dimension;Length fo centrelines;Building;Block;Block;Schirmer and Axhausen (2015)
Dimension;Number of floors;Building;Block;Block;Ye and van Nes (2014)
Dimension;Number of stories;Building;Block;Block;Schirmer and Axhausen (2015)
Dimension;Volume;Building;Block;Block;Hamaina, Leduc and Moreau (2012)
Dimension;Width;Building;Block;Block;Hamaina, Leduc and Moreau (2012)
Dimension;Weighted Average Height ;Buildings in Block;Block;Block;Dibble (2016)
Dimension;Weighted Height;Built Fronts;Block;Block;Dibble (2016)
Dimension;Bounding box Area;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Bounding box Length;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Bounding box Perimeter;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Bounding box Width;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Convex Hull Area;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Convex Hull Perimeter;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Enclosing circle Area;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Enclosing circle Perimeter;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Enclosing circle Radius;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Perimeter;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Width along centerline;Composite;Block;Block;Schirmer and Axhausen (2015)
Dimension;Convex Hull Area;Courtyard;Block;Block;Schirmer and Axhausen (2015)
Dimension;Depth;Mean Maximum Gravity block;Block;Block;Sevtsuk (2016)
Dimension;Widht;Mean Maximum Gravity block;Block;Block;Sevtsuk (2016)
Dimension;Width;Open space;Block;Block;Fusco and Araldi (2017)
Dimension;Area;Patch;Block;Block;Vanderhaegen and Canters (2017)
Dimension;Edge length;Patch;Block;Block;Vanderhaegen and Canters (2017)
Dimension;Perimeter;Patch;Block;Block;Vanderhaegen and Canters (2017)
Dimension;Area;Plot;Block;Block;Dibble (2016)
Dimension;Depth;Plot;Block;Block;Song and Knaap (2007)
Dimension;Extension on Street Front;Plot;Block;Block;Dibble (2016)
Dimension;Height;Street;Block;Block;Sevtsuk (2016)
Dimension;Length;Street;Block;Block;Dibble (2016)
Dimension;Width;Street;Block;Block;Dibble (2016)
Dimension;Length;Street front;Block;Block;Schirmer and Axhausen (2015)
Dimension;Length;Street segment;Block;Block;Bourdic, Salat and Nowacki (2012)
Dimension;Slope;Surface;Block;Block;Fusco and Araldi (2017)
Dimension;Area;Urban block related street area (UBRSA);Block;Block;Hermosilla (2014)
Dimension;Area;Voronoi cell;Block;Block;Hamaina, Leduc and Moreau (2012)
Dimension;Median Area;Blocks in buffer area;Neighbourhood;Neighbourhood;Song and Knaap (2007)
Dimension;Median Perimeter;Blocks in neighborhood;Neighbourhood;Neighbourhood;Lowry and Lowry (2014)
Dimension;Mesh size;Grid network;Neighbourhood;Neighbourhood;Siksna (1997)
Dimension;Median Area;Plots in neighborhood;Neighbourhood;Neighbourhood;Lowry and Lowry (2014)
Dimension;Area;Sanctuary Area;Neighbourhood;Neighbourhood;Dibble (2016)
Dimension;Cul-de-sac Length;Street network;Neighbourhood;Neighbourhood;Lowry and Lowry (2014)
Dimension;Length;Street network;Neighbourhood;Neighbourhood;Song and Knaap (2007)
Dimension;Length within radius;Street network;Neighbourhood;Neighbourhood;Krizek (2003)
Dimension;Actual Nonresidential Area;Study area;Neighbourhood;Neighbourhood;Song and Knaap (2004)
Dimension;Zoned nonresidential Area;Study area;Neighbourhood;Neighbourhood;Song and Knaap (2004)
Dimension;Area;Patch;Urban Area;Urban Area;Pham (2011)
Dimension;Length;Street network;Urban Area;Urban Area;Khirfan (2011)
Dimension;Area;Study area;Urban Area;Urban Area;Khirfan (2011)
Dimension;Length;Cul-de-sac;Urban Area/Neighbourhood;Urban Area/Neighbourhood;Song and Knaap (2003)
